Year,EventName,RoundNumber,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedST,Time,DriverNumber,PitOutTime,PitInTime,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedFL,IsPersonalBest,FreshTyre,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2021,Bahrain Grand Prix,1,HAM,Mercedes,35.0,3.0,HARD,7.0,0 days 00:01:34.745000,0 days 00:00:30.578000,0 days 00:00:40.845000,0 days 00:00:23.322000,,256.0,283.0,0 days 01:36:06.982000,44,,,0 days 01:35:02.817000,0 days 01:35:43.662000,0 days 01:36:06.984000,278.0,False,True,0 days 01:34:32.237000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,36.0,3.0,HARD,8.0,0 days 00:01:34.754000,0 days 00:00:30.504000,0 days 00:00:40.864000,0 days 00:00:23.386000,,254.0,,0 days 01:37:41.736000,44,,,0 days 01:36:37.488000,0 days 01:37:18.352000,0 days 01:37:41.738000,279.0,False,True,0 days 01:36:06.982000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,37.0,3.0,HARD,9.0,0 days 00:01:34.740000,0 days 00:00:30.339000,0 days 00:00:41.183000,0 days 00:00:23.218000,235.0,250.0,282.0,0 days 01:39:16.476000,44,,,0 days 01:38:12.077000,0 days 01:38:53.260000,0 days 01:39:16.478000,280.0,False,True,0 days 01:37:41.736000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,38.0,3.0,HARD,10.0,0 days 00:01:34.720000,0 days 00:00:30.347000,0 days 00:00:40.986000,0 days 00:00:23.387000,234.0,254.0,291.0,0 days 01:40:51.196000,44,,,0 days 01:39:46.825000,0 days 01:40:27.811000,0 days 01:40:51.198000,280.0,False,True,0 days 01:39:16.476000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,39.0,3.0,HARD,11.0,0 days 00:01:34.816000,0 days 00:00:30.468000,0 days 00:00:41.030000,0 days 00:00:23.318000,235.0,258.0,288.0,0 days 01:42:26.012000,44,,,0 days 01:41:21.666000,0 days 01:42:02.696000,0 days 01:42:26.014000,279.0,False,True,0 days 01:40:51.196000,,1,2.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,40.0,3.0,HARD,12.0,0 days 00:01:34.890000,0 days 00:00:30.620000,0 days 00:00:40.931000,0 days 00:00:23.339000,233.0,257.0,285.0,0 days 01:44:00.902000,44,,,0 days 01:42:56.634000,0 days 01:43:37.565000,0 days 01:44:00.904000,280.0,False,True,0 days 01:42:26.012000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,41.0,3.0,HARD,13.0,0 days 00:01:34.334000,0 days 00:00:30.276000,0 days 00:00:40.771000,0 days 00:00:23.287000,234.0,258.0,286.0,0 days 01:45:35.236000,44,,,0 days 01:44:31.180000,0 days 01:45:11.951000,0 days 01:45:35.238000,279.0,False,True,0 days 01:44:00.902000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,42.0,3.0,HARD,14.0,0 days 00:01:34.199000,0 days 00:00:30.387000,0 days 00:00:40.615000,0 days 00:00:23.197000,,261.0,288.0,0 days 01:47:09.435000,44,,,0 days 01:46:05.625000,0 days 01:46:46.240000,0 days 01:47:09.437000,281.0,False,True,0 days 01:45:35.236000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,43.0,3.0,HARD,15.0,0 days 00:01:34.163000,0 days 00:00:30.222000,0 days 00:00:40.647000,0 days 00:00:23.294000,,262.0,290.0,0 days 01:48:43.598000,44,,,0 days 01:47:39.659000,0 days 01:48:20.306000,0 days 01:48:43.600000,290.0,False,True,0 days 01:47:09.435000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,44.0,3.0,HARD,16.0,0 days 00:01:34.015000,0 days 00:00:29.976000,0 days 00:00:40.631000,0 days 00:00:23.408000,232.0,261.0,315.0,0 days 01:50:17.613000,44,,,0 days 01:49:13.576000,0 days 01:49:54.207000,0 days 01:50:17.615000,279.0,True,True,0 days 01:48:43.598000,,12,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,45.0,3.0,HARD,17.0,0 days 00:01:34.583000,0 days 00:00:30.534000,0 days 00:00:40.615000,0 days 00:00:23.434000,233.0,258.0,284.0,0 days 01:51:52.196000,44,,,0 days 01:50:48.149000,0 days 01:51:28.764000,0 days 01:51:52.198000,280.0,False,True,0 days 01:50:17.613000,,21,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,46.0,3.0,HARD,18.0,0 days 00:01:34.492000,0 days 00:00:30.238000,0 days 00:00:40.850000,0 days 00:00:23.404000,236.0,258.0,302.0,0 days 01:53:26.688000,44,,,0 days 01:52:22.436000,0 days 01:53:03.286000,0 days 01:53:26.690000,285.0,False,True,0 days 01:51:52.196000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,47.0,3.0,HARD,19.0,0 days 00:01:34.591000,0 days 00:00:30.448000,0 days 00:00:40.884000,0 days 00:00:23.259000,234.0,256.0,294.0,0 days 01:55:01.279000,44,,,0 days 01:53:57.138000,0 days 01:54:38.022000,0 days 01:55:01.281000,279.0,False,True,0 days 01:53:26.688000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,48.0,3.0,HARD,20.0,0 days 00:01:34.167000,0 days 00:00:30.336000,0 days 00:00:40.567000,0 days 00:00:23.264000,235.0,257.0,289.0,0 days 01:56:35.446000,44,,,0 days 01:55:31.617000,0 days 01:56:12.184000,0 days 01:56:35.448000,280.0,False,True,0 days 01:55:01.279000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,49.0,3.0,HARD,21.0,0 days 00:01:34.136000,0 days 00:00:30.273000,0 days 00:00:40.641000,0 days 00:00:23.222000,233.0,256.0,290.0,0 days 01:58:09.582000,44,,,0 days 01:57:05.721000,0 days 01:57:46.362000,0 days 01:58:09.584000,280.0,False,True,0 days 01:56:35.446000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,50.0,3.0,HARD,22.0,0 days 00:01:34.354000,0 days 00:00:30.265000,0 days 00:00:40.749000,0 days 00:00:23.340000,235.0,257.0,292.0,0 days 01:59:43.936000,44,,,0 days 01:58:39.849000,0 days 01:59:20.598000,0 days 01:59:43.938000,282.0,False,True,0 days 01:58:09.582000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,51.0,3.0,HARD,23.0,0 days 00:01:34.579000,0 days 00:00:30.360000,0 days 00:00:41.010000,0 days 00:00:23.209000,234.0,257.0,291.0,0 days 02:01:18.515000,44,,,0 days 02:00:14.298000,0 days 02:00:55.308000,0 days 02:01:18.517000,282.0,False,True,0 days 01:59:43.936000,,1,1.0,,,False,True
